ordem,id,materia,titulo,artefato_ativo,status,proxima_acao
55,summary-fisica-forca-eletrica-lei-de-coulomb,Física,Força Elétrica: Lei de Coulomb,instrument:lei-coulomb,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
56,summary-fisica-forca-magnetica-e-analise-de-lancamentos-de-cargas-em-um-campo-magnetico-uniforme,Física,Força Magnética e Análise de Lançamentos de Cargas em um Campo Magnético Uniforme,instrument:carga-em-b,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
57,summary-fisica-forca-e-seus-tipos,Física,Força e seus Tipos,scene:forcas-vetores,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
58,summary-fisica-fundamentos-da-optica-geometrica,Física,Fundamentos da Óptica Geométrica,instrument:fundamentos-optica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
59,summary-fisica-gases-ideais-variaveis-de-estado-e-as-transformacoes-gasosas,Física,Gases Ideais: Variáveis de Estado e as Transformações Gasosas,scene:transformacoes-pv,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
60,summary-fisica-geradores,Física,Geradores,instrument:geradores-eletricos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
61,summary-fisica-grandezas-fisicas-e-operacoes-com-vetores,Física,Grandezas Físicas e Operações com Vetores,instrument:grandezas-vetores,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
62,summary-fisica-hidrostatica-densidade-e-pressao,Física,Hidrostática: Densidade e Pressão,board:hidrostatica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
63,summary-fisica-impulso-e-quantidade-de-movimento,Física,Impulso e Quantidade de Movimento,instrument:impulso,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
64,summary-fisica-inducao-eletromagnetica-analise-da-corrente-induzida-em-geradores,Física,Indução Eletromagnética: Análise da Corrente Induzida em Geradores,instrument:gerador-inducao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
65,summary-fisica-inducao-eletromagnetica-lei-de-lenz,Física,Indução Eletromagnética: Lei de Lenz,instrument:lenz,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
66,summary-fisica-intensidade-sonora,Física,Intensidade Sonora,instrument:intensidade-sonora,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
67,summary-fisica-interferencia-de-ondas-analise-quantitativa-aplicacoes-e-batimento,Física,"Interferência de Ondas: Análise Quantitativa, Aplicações e Batimento",instrument:interferencia-ondas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
68,summary-fisica-leis-da-gravitacao,Física,Leis da Gravitação,instrument:gravidade,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
69,summary-fisica-lentes-esfericas-estudo-grafico,Física,Lentes Esféricas: Estudo Gráfico,board:lentes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
70,summary-fisica-mapeamento-do-campo-eletrico-linhas-de-forca-e-superficies-equipotenciais,Física,Mapeamento do Campo Elétrico: Linhas de Força e Superfícies Equipotenciais,instrument:mapeamento-campo-eletrico,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
71,summary-fisica-medidores-eletricos,Física,Medidores Elétricos,instrument:medidores-eletricos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
72,summary-fisica-microscopio-e-luneta-astronomica-ou-telescopio-refrator-nocoes-basicas,Física,Microscópio e Luneta Astronômica (ou Telescópio Refrator): Noções Básicas,instrument:microscopio-luneta,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
73,summary-fisica-movimento-harmonico-simples-mhs,Física,Movimento Harmônico Simples (MHS),instrument:mhs,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
74,summary-fisica-movimento-uniforme,Física,Movimento Uniforme,instrument:movimento-uniforme,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
75,summary-fisica-movimento-uniformemente-variado,Física,Movimento Uniformemente Variado,instrument:movimento-uniformemente-variado,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
76,summary-fisica-maquinas-termicas-e-ciclo-de-carnot,Física,Máquinas Térmicas e Ciclo de Carnot,instrument:ciclo-carnot,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
77,summary-fisica-nocoes-basicas-de-fisica-quantica,Física,Noções Básicas de Física Quântica,instrument:fisica-quantica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
78,summary-fisica-o-movimento-circular,Física,O Movimento Circular,instrument:movimento-circular,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
79,summary-fisica-ondas-estacionarias-em-cordas,Física,Ondas Estacionárias em Cordas,instrument:ondas-cordas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
80,summary-fisica-ondas-estacionarias-em-tubos,Física,Ondas Estacionárias em Tubos,instrument:ondas-tubos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
81,summary-fisica-plano-inclinado,Física,Plano Inclinado,instrument:plano-inclinado,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
82,summary-fisica-potencia-eletrica,Física,Potência Elétrica,instrument:potencia-eletrica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
83,summary-fisica-potencia-maquina-e-rendimento,Física,"Potência, Máquina e Rendimento",instrument:potencia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
84,summary-fisica-primeira-lei-da-termodinamica,Física,Primeira Lei da Termodinâmica,instrument:primeira-lei,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
85,summary-fisica-primeira-lei-da-termodinamica-aplicada-a-algumas-transformacoes-particulares,Física,Primeira Lei da Termodinâmica Aplicada a Algumas Transformações Particulares,board:adiabatica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
86,summary-fisica-receptores,Física,Receptores,instrument:receptores-eletricos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
87,summary-fisica-reflexao-em-superficies-esfericas,Física,Reflexão em Superfícies Esféricas,instrument:espelho-esferico,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
88,summary-fisica-reflexao-em-superficies-planas,Física,Reflexão em Superfícies Planas,instrument:espelho-plano,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
89,summary-fisica-reflexao-eco-reverberacao-e-refracao-de-ondas,Física,"Reflexão, Eco, Reverberação e Refração de Ondas",instrument:eco-refracao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
90,summary-fisica-refracao-fundamentos-leis-e-aplicacoes,Física,"Refração: Fundamentos, Leis e Aplicações",instrument:refracao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
91,summary-fisica-resistores,Física,Resistores,instrument:resistores,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
92,summary-fisica-resultante-de-um-sistema-de-forcas,Física,Resultante de um Sistema de Forças,instrument:resultante-forcas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
93,summary-fisica-sistema-de-corpos-interagindo-e-os-elementos-transmissores-de-forca,Física,Sistema de Corpos Interagindo e os Elementos Transmissores de Força,instrument:corpos-interagindo,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
94,summary-fisica-sistemas-conservativos-e-sistemas-nao-conservativos,Física,Sistemas Conservativos e Sistemas Não Conservativos,instrument:nao-conservativo,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
95,summary-fisica-sistemas-isolados-e-a-conservacao-da-quantidade-de-movimento,Física,Sistemas Isolados e a Conservação da Quantidade de Movimento,instrument:conservacao-momento,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
96,summary-fisica-trabalho-da-forca-de-pressao-do-gas,Física,Trabalho da Força de Pressão do Gás,instrument:trabalho-gas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
97,summary-fisica-trabalho-e-energia-teorema-da-energia-cinetica,Física,Trabalho e Energia: Teorema da Energia Cinética,instrument:energia-cinetica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
98,summary-fisica-trabalho-e-energia-trabalho-de-uma-forca,Física,Trabalho e Energia: Trabalho de uma Força,instrument:trabalho-forca,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
99,summary-fisica-trabalho-e-energia-o-teorema-da-energia-potencial,Física,Trabalho e Energia: o Teorema da Energia Potencial,instrument:energia-potencial,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
100,summary-fisica-um-caso-particular-de-interferencia-onda-estacionaria,Física,Um Caso Particular de Interferência: Onda Estacionária,instrument:onda-estacionaria,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
101,summary-fisica-velocidade-vetorial,Física,Velocidade Vetorial,instrument:velocidade-vetorial,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
102,summary-fisica-imas-campo-de-inducao-magnetico-devido-a-imas-e-campo-magnetico-terrestre,Física,"Ímãs, Campo de Indução Magnético devido a Ímãs e Campo Magnético Terrestre",instrument:imas-campo-terrestre,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
103,summary-fisica-optica-da-visao,Física,Óptica da Visão,board:defeitos-visao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
104,summary-fisica-orbitas,Física,Órbitas,instrument:orbitas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
105,summary-quimica-acidez-e-basicidade-pka,Química,Acidez e Basicidade (pKa),instrument:acidity,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
106,summary-quimica-aspectos-quantitativos-da-eletroquimica-e-metalurgia,Química,Aspectos Quantitativos da Eletroquímica e Metalurgia,instrument:faraday-metalurgia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
107,summary-quimica-cinetica-quimica,Química,Cinética Química,scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
108,summary-quimica-combustiveis-fosseis,Química,Combustíveis Fósseis,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
109,summary-quimica-composicao-da-materia-estados-fisicos,Química,Composição da Matéria: Estados Físicos,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
110,summary-quimica-calculos-estequiometricos,Química,Cálculos Estequiométricos,instrument:stoichiometry,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
111,summary-quimica-deslocamento-de-equilibrio,Química,Deslocamento de Equilíbrio,instrument:equilibrium-shift,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
112,summary-quimica-determinacao-de-formulas-quimicas,Química,Determinação de Fórmulas Químicas,instrument:formula,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
113,summary-quimica-dispersoes,Química,Dispersões,board:dispersoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
114,summary-quimica-efeitos-coligativos,Química,Efeitos Coligativos,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
115,summary-quimica-eletroquimica-de-processos-espontaneos,Química,Eletroquímica de Processos Espontâneos,instrument:eletroquimica-espontanea,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
116,summary-quimica-eletroquimica-de-processos-nao-espontaneos,Química,Eletroquímica de Processos não Espontâneos,instrument:eletrolise,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
117,summary-quimica-equacoes-ionicas-e-outras-teorias-para-acidos-e-bases,Química,Equações Iônicas e outras Teorias para Ácidos e Bases,board:acido-base,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
118,qui-equilibrio-acidificacao,Química,"Equilíbrio químico, acidez e intemperismo",instrument:acid-weathering,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
119,summary-quimica-equilibrios-ionicos,Química,Equilíbrios Iônicos,instrument:ionic-equilibrium,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
120,summary-quimica-equilibrios-ionicos-ii,Química,Equilíbrios Iônicos II,scene:grade-de-eixos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
121,summary-quimica-estequiometria-leis-ponderais,Química,Estequiometria: Leis Ponderais,board:leis-ponderais,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
122,summary-quimica-estudo-dos-gases-ii,Química,Estudo dos Gases II,instrument:gas-law,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
123,summary-quimica-geometria-molecular,Química,Geometria Molecular,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
124,summary-quimica-interacoes-intermoleculares,Química,Interações Intermoleculares,scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
125,summary-quimica-interpretando-reacoes-organicas,Química,Interpretando Reações Orgânicas,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
126,summary-quimica-introducao-ao-estudo-das-pilhas-e-baterias,Química,Introdução ao Estudo das Pilhas e Baterias,instrument:pilhas-baterias,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
127,summary-quimica-introducao-a-quimica-organica,Química,Introdução à Química Orgânica,instrument:carbon-chain,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
128,summary-quimica-isomeria,Química,Isomeria,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
129,summary-quimica-ligacoes-quimicas-e-alotropia,Química,Ligações Químicas e Alotropia,board:ligacoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
130,summary-quimica-massa-atomica-mol-e-massa-molar,Química,"Massa Atômica, Mol e Massa Molar",instrument:mole,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
131,summary-quimica-nomenclatura-de-compostos-organicos,Química,Nomenclatura de Compostos Orgânicos,instrument:organic-name,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
132,summary-quimica-nomenclatura-de-compostos-organicos-oxigenados-e-nitrogenados,Química,Nomenclatura de Compostos Orgânicos Oxigenados e Nitrogenados,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
133,summary-quimica-o-estado-gasoso,Química,O Estado Gasoso,instrument:gas-state,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
134,summary-quimica-organizacao-da-tabela-periodica-dos-elementos,Química,Organização da Tabela Periódica dos Elementos,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
135,summary-quimica-polaridade-das-ligacoes-e-das-moleculas,Química,Polaridade das Ligações e das Moléculas,scene:criterios-conjuntivos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
136,summary-quimica-polimeros,Química,Polímeros,instrument:polymer,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
137,summary-quimica-processos-de-oxirreducao,Química,Processos de Oxirredução,instrument:redox,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
138,summary-quimica-quimica-ambiental,Química,Química Ambiental,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
139,summary-quimica-quimica-inorganica,Química,Química Inorgânica,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
140,summary-quimica-radioatividade-o-estudo-das-radiacoes,Química,Radioatividade: o Estudo das Radiações,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
141,summary-quimica-reacoes-de-adicao,Química,Reações de Adição,instrument:addition,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
142,summary-quimica-reacoes-de-oxidacao-em-hidrocarbonetos,Química,Reações de Oxidação em Hidrocarbonetos,instrument:oxidation,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
143,summary-quimica-reacoes-de-substituicao,Química,Reações de Substituição,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
144,summary-quimica-reconhecimento-de-funcoes-organicas-e-algumas-de-suas-propriedades,Química,Reconhecimento de Funções Orgânicas e Algumas de suas Propriedades,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
145,summary-quimica-separacao-de-misturas,Química,Separação de Misturas,instrument:separation,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
146,summary-quimica-transesterificacao-alcoolise,Química,Transesterificação (Alcoólise),instrument:biodiesel,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
147,summary-quimica-transformacoes-fisicas-e-quimicas-e-balanceamento-de-equacoes,Química,Transformações Físicas e Químicas e Balanceamento de Equações,instrument:balancing,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
148,summary-quimica-acidos-graxos-e-esterificacao,Química,Ácidos Graxos e Esterificação,instrument:esterification,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
149,summary-quimica-alcoois,Química,Álcoois,scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
150,summary-biologia-alelos-multiplos-e-heranca-dos-grupos-sanguineos,Biologia,Alelos Múltiplos e Herança dos Grupos Sanguíneos,instrument:alelos-multiplos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
151,summary-biologia-algas,Biologia,Algas,scene:atlas-luz-e-algas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
152,summary-biologia-anelideos,Biologia,Anelídeos,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
153,bio-ecologia-aquecimento-global-pops-biorremediacao,Biologia,"Aquecimento global, POPs e biorremediação",instrument:clima-pops-biorremediacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
154,summary-biologia-arquitetura-corporal-dos-animais-e-o-filo-dos-platelmintos-e-dos-nematodeos,Biologia,Arquitetura Corporal dos Animais e o Filo dos Platelmintos e dos Nematódeos,instrument:arquitetura-corporal,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
155,summary-biologia-artropodes-aracnideos,Biologia,Artrópodes: Aracnídeos,instrument:artropodes-aracnideos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
156,summary-biologia-artropodes-insetos-crustaceos-e-miriapodes,Biologia,"Artrópodes: Insetos, Crustáceos e Miriápodes",instrument:artropodes-insetos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
